country_name_short	country_name	party_name_short	party_name_english	party_name	party_name_ascii	family_name_short	family_name	left_right	state_market	liberty_authority	eu_anti_pro	cmp	euprofiler	ees	castles_mair	huber_inglehart	ray	benoit_laver	chess	country_id	party_id	family_id
"AUS"	"Australia"	"AD"	"Australian Democrats"	"Australian Democrats"	"Australian Democrats"	"soc"	"Social democracy"	3.7004	3.3684	1.1579	8.1	63321.0			102.0	203.0		4703.0		33	120	11.0
"AUS"	"Australia"	"AG"	"Australian Greens"	"Australian Greens"	"Australian Greens"	"eco"	"Green/Ecologist"	1.5439	1.2982	0.5614	6.5							4739.0		33	751	19.0
"AUS"	"Australia"	"ALP"	"Australian Labor Party"	"Australian Labor Party"	"Australian Labor Party"	"soc"	"Social democracy"	3.8833	4.0351	3.2632	8.1	63320.0			101.0			4721.0		33	1253	11.0
"AUS"	"Australia"	"AP"	"Australia Party"	"Australia Party"	"Australia Party"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									33	1760	6.0
"AUS"	"Australia"	"CDP"	"Christian Democratic Party"	"Christian Democratic Party"	"Christian Democratic Party"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									33	1650	3.0
"AUS"	"Australia"	"CPA"	"Communist Party of Australia"	"Communist Party of Australia"	"Communist Party of Australia"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									33	1922	14.0
"AUS"	"Australia"	"CouLP"	"Country Liberal Party"	"Country Liberal Party"	"Country Liberal Party"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									33	215	6.0
"AUS"	"Australia"	"DLP"	"Democratic Labour Party"	"Democratic Labour Party"	"Democratic Labour Party"	"soc"	"Social democracy"	4.1667	3.5	3.5	8.1	63330.0				204.0				33	1306	11.0
"AUS"	"Australia"	"FFP"	"Family First Party"	"Family First Party"	"Family First Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8									33	446	26.0
"AUS"	"Australia"	"Katter"	"Katter's Australian Party"	"Katter's Australian Party"	"Katter's Australian Party"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									33	2258	11.0
"AUS"	"Australia"	"LCL"	"Liberal and Country League"	"Liberal and Country League"	"Liberal and Country League"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									33	1919	11.0
"AUS"	"Australia"	"LLP"	"Lang Labour Party"	"Lang Labour Party"	"Lang Labour Party"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									33	303	11.0
"AUS"	"Australia"	"LNPQ"	"Liberal National Party of Queensland"	"Liberal National Party of Queensland"	"Liberal National Party of Queensland"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									33	154	6.0
"AUS"	"Australia"	"LPA"	"Liberal Party of Australia"	"Liberal Party of Australia"	"Liberal Party of Australia"	"con"	"Conservative"	7.3903	8.4211	6.9825	7.8	63620.0			103.0	205.0		4757.0		33	1411	26.0
"AUS"	"Australia"	"NCP|NPA"	"National (Country) Party | National Party of Australia"	"National (Country) Party | National Party of Australia"	"National (Country) Party | National Party of Australia"	"con"	"Conservative"	7.8222	6.2456	8.4561	7.8	63810.0			104.0	206.0		4775.0		33	184	26.0
"AUS"	"Australia"	"ONP"	"One Nation Party"	"One Nation Party"	"One Nation Party"	"right"	"Right-wing"	8.1579	5.3008	7.9649	2.4							4793.0		33	386	40.0
"AUS"	"Australia"	"PUP"	"Palmer United Party"	"Palmer United Party"	"Palmer United Party"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									33	2259	6.0
"AUS"	"Australia"	"SPA"	"Services Party of Australia"	"Services Party of Australia"	"Services Party of Australia"	"code"	"to be coded"													33	1897	28.0
"AUS"	"Australia"	"none"	"no party affiliation"	"no party affiliation"	"no party affiliation"	"none"	"no family"													33	1396	12.0
"AUT"	"Austria"	"ALO"	"Alternative List Austria"	"Alternative Liste Österreichs"	"Alternative Liste Oesterreichs"	"eco"	"Green/Ecologist"	2.5	2.5	1.8	6.5									59	1739	19.0
"AUT"	"Austria"	"BZO"	"Alliance for the Future of Austria"	"Bündnis Zukunft Österreich"	"Buendnis Zukunft Oesterreich"	"right"	"Right-wing"	8.83	6.0	8.83	2.5		8.0	1040600.0					1307.0	59	1536	40.0
"AUT"	"Austria"	"CSA"	"Christian social alliance (Karl Habsburg List)"	"Christlich Soziale Allianz (Liste Karl Habsburg)"	"Christlich Soziale Allianz (Liste Karl Habsburg)"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									59	1752	3.0
"AUT"	"Austria"	"DFP"	"Democratic Progressive Party"	"Demokratische Fortschrittliche Partei"	"Demokratische Fortschrittliche Partei"	"spec"	"Special issue"													59	1743	16.0
"AUT"	"Austria"	"DU"	"The Independents -- Lugner's List"	"Die Unabhängigen – Liste Lugner"	"Die Unabhaengigen -- Liste Lugner"	"spec"	"Special issue"													59	1745	16.0
"AUT"	"Austria"	"EU-STOP"	"EU Withdrawal, Direct Democracy, Neutrality"	"EU-Austritt, Direkte Demokratie, Neutralität"	"EU-Austritt, Direkte Demokratie, Neutralitaet"	"spec"	"Special issue"													59	2340	16.0
"AUT"	"Austria"	"FPO"	"Freedom Party of Austria"	"Freiheitliche Partei Österreichs"	"Freiheitliche Partei Oesterreichs"	"right"	"Right-wing"	8.3494	6.3291	8.5149	1.9815	42420.0	10.0	1040420.0	204.0	311.0	1303.0	4811.0	1303.0	59	50	40.0
"AUT"	"Austria"	"Fritz"	"The Citizens' Forum Austria"	"Bürgerforum Österreich – Liste Fritz Dinkhauser"	"Buergerforum Oesterreich -- Liste Fritz Dinkhauser"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									59	1746	11.0
"AUT"	"Austria"	"Gruene"	"The Greens -- The Green Alternative"	"Die Grünen – Die Grüne Alternative"	"Die Gruenen -- Die Gruene Alternative"	"eco"	"Green/Ecologist"	2.4604	2.7489	1.4308	6.6845	42110.0	9.0	1040110.0		307.0	1304.0	4829.0	1304.0	59	1429	19.0
"AUT"	"Austria"	"KPO"	"Communist Party of Austria"	"Kommunistische Partei Österreichs"	"Kommunistische Partei Oesterreichs"	"com"	"Communist/Socialist"	0.5	1.4	3.0	0.0	42220.0	3.0	1040220.0	201.0		1305.0			59	769	14.0
"AUT"	"Austria"	"LIF"	"Liberal Forum"	"Liberales Forum"	"Liberales Forum"	"lib"	"Liberal"	4.8806	7.3667	1.8667	9.6125	42421.0		1040422.0		310.0	1306.0		1306.0	59	955	6.0
"AUT"	"Austria"	"Martin"	"Hans-Peter Martin's List"	"Liste Dr. Hans-Peter Martin"	"Liste Dr. Hans-Peter Martin"	"spec"	"Special issue"	4.2	5.0	3.4	2.85			1040951.0					1308.0	59	669	16.0
"AUT"	"Austria"	"N"	"Citizens' Initiative for the retention of neutrality"	"Die Neutralen – Bürgerinitiative"	"Die Neutralen -- Buergerinitiative"	"spec"	"Special issue"													59	1750	16.0
"AUT"	"Austria"	"NEOS"	"NEOS -- The New Austria"	"NEOS – Das Neue Österreich"	"NEOS -- Das Neue Oesterreich"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									59	2255	6.0
"AUT"	"Austria"	"Nein"	"No -- Citizens' Initiative against EU membership"	"Nein – Bürgerinitiative gegen die EU Mitgliedschaft"	"Nein -- Buergerinitiative gegen die EU Mitgliedschaft"	"spec"	"Special issue"													59	1744	16.0
"AUT"	"Austria"	"OVP"	"Austrian People's Party"	"Österreichische Volkspartei"	"Oesterreichische Volkspartei"	"chr"	"Christian democracy"	6.4733	6.9485	7.6198	8.8451	42520.0	6.0	1040520.0	203.0	309.0	1302.0	4847.0	1302.0	59	1013	3.0
"AUT"	"Austria"	"REKOS"	"The Reform Conservatives"	"Die Reformkonservativen – REKOS"	"Die Reformkonservativen -- REKOS"	"con"	"Conservative"	7.4	6.4	6.9	7.8									59	2339	26.0
"AUT"	"Austria"	"SPO"	"Social Democratic Party of Austria"	"Sozialdemokratische Partei Österreichs"	"Sozialdemokratische Partei Oesterreichs"	"soc"	"Social democracy"	3.7293	3.4728	3.4766	8.4495	42320.0	11.0	1040320.0	202.0	308.0	1301.0	4865.0	1301.0	59	973	11.0
"AUT"	"Austria"	"TS"	"Team Stronach"	"Team Stronach"	"Team Stronach"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									59	2150	6.0
"AUT"	"Austria"	"VGO"	"United Greens Austria"	"Vereinte Grüne Österreichs"	"Vereinte Gruene Oesterreichs"	"eco"	"Green/Ecologist"	2.5	2.5	1.8	6.5									59	1740	19.0
"AUT"	"Austria"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"													59	2055	12.0
"BEL"	"Belgium"	"AGL-Gr"	"Agalev -- Green"	"Agalev – Groen"	"Agalev -- Groen"	"eco"	"Green/Ecologist"	2.5762	2.0089	1.0234	7.2593	21112.0	13.0	1056112.0	305.0	401.0	105.0	4963.0	105.0	64	1594	19.0
"BEL"	"Belgium"	"BSP-PSB"	"Belgian Socialist Party"	"Belgische Socialistische Partij – Parti Socialiste Belge"	"Belgische Socialistische Partij -- Parti Socialiste Belge"	"soc"	"Social democracy"	2.5	3.5	3.5	8.1	21320.0			302.0					64	167	11.0
"BEL"	"Belgium"	"CD+NVA"	"Christian-Democrat and Flemish / New Flemish Alliance"	"Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie"	"Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									64	972	3.0
"BEL"	"Belgium"	"CSP"	"Christian Social Party"	"Christlich Soziale Partei"	"Christlich Soziale Partei"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									64	119	3.0
"BEL"	"Belgium"	"CVP"	"Flemish Christian Peoples Party"	"Christelijke Volkspartij"	"Christelijke Volkspartij"	"chr"	"Christian democracy"	5.7667	5.5876	7.2083	8.9013	21521.0	12.0	1056521.0	307.0	406.0	109.0	4883.0	109.0	64	723	3.0
"BEL"	"Belgium"	"DLB"	"Belgians, Rise Up!"	"Debout Les Belges!"	"Debout Les Belges!"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									64	2368	40.0
